Unnamed: 0,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017),province
20752,ESP,19.8,41.7494,-2.1887,Wind,37.82,Soria
20753,ESP,50.0,39.45,-2.0833,Wind,106.33,Cuenca
20754,ESP,19.8,41.7175,-1.8109,Wind,35.28,Zaragoza
20755,ESP,18.0,41.7631,-1.8882,Wind,31.89,Soria
20756,ESP,13.2,36.8773,-2.6018,Wind,23.57,Almeria
20757,ESP,28.0,38.25,-6.3,Wind,59.54,Badajoz
20758,ESP,28.38,37.2829,-5.9209,Wind,60.35,Sevilla
20759,ESP,22.44,42.653,-1.3067,Wind,53.91,Navarra
20760,ESP,49.3,43.5167,-6.6833,Wind,104.84,Asturias
20761,ESP,27.2,43.2155,-6.8757,Wind,66.07,Lugo
20762,ESP,22.95,39.6,-1.8,Wind,48.8,Cuenca
20763,ESP,17.25,39.4085,-2.2017,Wind,36.68,Cuenca
20764,ESP,51.48,41.5919,-1.1577,Wind,109.48,Zaragoza
20765,ESP,38.0,37.5076,-7.2704,Wind,85.9,Huelva
20766,ESP,44.2,38.6328,-0.8197,Wind,108.72,Alicante/Alacant
20767,ESP,25.74,38.6137,-1.1147,Wind,54.74,Murcia
20768,ESP,24.42,42.0635,-7.7246,Wind,51.93,Ourense
20769,ESP,41.65,42.0635,-7.7246,Wind,54.22,Ourense
20770,ESP,17.4,37.6143,-7.2488,Wind,39.89,Huelva
20771,ESP,12.0,39.5,-2.1667,Wind,30.28,Cuenca
20772,ESP,50.0,41.0991,-2.3044,Wind,126.59,Guadalajara
20773,ESP,33.0,39.4685,-2.2467,Wind,70.18,Cuenca
20774,ESP,70.5,39.486,-2.2028,Wind,149.93,Cuenca
20775,ESP,15.84,38.4792,-1.325,Wind,33.68,Murcia
20776,ESP,10.68,36.0139,-5.6069,Wind,16.27,Ceuta
20777,ESP,18.0,36.0139,-5.6069,Wind,48.44,Ceuta
20778,ESP,24.0,38.9667,-1.0833,Wind,53.68,Valencia/Val�ncia
20779,ESP,30.39,42.773,-8.8444,Wind,64.63,Pontevedra
20780,ESP,59.5,42.0617,-1.6045,Wind,126.53,Zaragoza
20781,ESP,21.78,38.1893,-1.8918,Wind,46.31,Murcia
20782,ESP,24.42,43.4668,-7.7238,Wind,48.99,Lugo
20783,ESP,22.0,37.1061,-2.6485,Wind,58.51,Almeria
20784,ESP,14.52,40.705999999999996,-4.5163,Wind,28.21,avila
20785,ESP,30.0,37.3222,-6.0586,Wind,78.36,Sevilla
20786,ESP,49.5,39.7493,-0.9968,Wind,105.27,Valencia/Val�ncia
20787,ESP,64.5,39.7493,-0.9968,Wind,122.68,Valencia/Val�ncia
20788,ESP,12.0,37.5251,-7.4925,Wind,30.32,Huelva
20789,ESP,24.93,41.8395,-1.1777,Wind,53.01,Zaragoza
20790,ESP,16.5,36.1949,-5.7634,Wind,35.09,Cadiz
20791,ESP,32.0,37.6915,-3.8187,Wind,68.05,Jaen
20792,ESP,19.14,42.592,-1.3604,Wind,35.16,Navarra
20793,ESP,50.0,42.1795,-7.1122,Wind,106.33,Ourense
20794,ESP,17.85,42.1733,-6.6596,Wind,37.96,Zamora
20795,ESP,15.84,42.6833,-7.2333,Wind,33.68,Lugo
20796,ESP,49.5,41.6336,-1.2744,Wind,105.27,Zaragoza
20797,ESP,49.5,40.7081,-0.9149,Wind,105.27,Teruel
20798,ESP,14.85,41.778999999999996,-1.9839,Wind,31.58,Soria
20799,ESP,26.0,38.2709,-1.3768,Wind,55.29,Murcia
20800,ESP,26.97,43.0167,-2.7667,Wind,57.35,Vizcaya
20801,ESP,26.4,38.6137,-1.1147,Wind,56.14,Murcia
20802,ESP,39.95,40.7342,-1.6172,Wind,84.96,Teruel
20803,ESP,29.7,38.6328,-0.8197,Wind,63.16,Alicante/Alacant
20804,ESP,30.0,36.0139,-5.6069,Wind,63.8,Ceuta
20805,ESP,28.0,37.5076,-7.2704,Wind,66.24,Huelva
20806,ESP,44.88,41.8347,-5.8888,Wind,95.44,Zamora
20807,ESP,14.52,40.7796,-4.4136,Wind,26.07,Segovia
20808,ESP,20.8,43.1504,-4.3817,Hydro,31.02,Cantabria
20809,ESP,36.55,39.7167,-1.4333,Wind,77.73,Cuenca
20810,ESP,97.98,41.761,-4.9874,Wind,194.22,Valladolid
20811,ESP,16.434,37.1353,-4.73,Waste,5.72,Malaga
