,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017)
20468,ESP,46.0,41.6552,-4.7237,Gas,109.03
20469,ESP,92.42,42.5758,1.1423,Hydro,109.47
20470,ESP,44.29,42.4768,-7.2746,Hydro,73.22
20471,ESP,13.6,40.6325,-5.6229,Wind,41.86
20472,ESP,30.8,38.9503,-0.652,Wind,72.25
20473,ESP,219.14,42.5787,0.7587,Hydro,329.14
20474,ESP,57.6,41.0333,0.25,Wind,131.08
20475,ESP,49.5,38.9667,-1.2167,Wind,105.27
20476,ESP,8.8,39.492,-3.535,Solar,17.19
20477,ESP,10.9,38.913,-5.7048,Solar,23.28
20478,ESP,6.3,28.1408,-16.4622,Solar,14.55
20479,ESP,15.0,39.2101,-1.75,Solar,32.47
20480,ESP,8.0,39.261,-4.087,Solar,15.74
20481,ESP,10.0,39.467,-6.51,Solar,18.86
20482,ESP,50.0,39.181,-3.314,Solar,107.05
20483,ESP,6.0,39.0041,-3.4111,Solar,12.23
20484,ESP,6.3,37.642,-1.348,Solar,13.18
20485,ESP,5.2,37.626,-1.361,Solar,10.72
20486,ESP,7.1,41.3432,-4.92,Solar,12.56
20487,ESP,4.0,42.4684,-2.2781,Solar,6.16
20488,ESP,7.0,36.7848,-4.2672,Solar,16.65
20489,ESP,9.5,42.26,-1.775,Solar,15.61
20490,ESP,4.8,40.062,-6.675,Solar,10.34
20491,ESP,10.0,38.301,-1.763,Solar,19.64
20492,ESP,8.7,37.4542,-4.6968,Solar,17.94
20493,ESP,50.0,37.16,-5.55,Solar,118.31
20494,ESP,553.6400000000001,43.2924,-6.3937,Coal,2525.55
20495,ESP,47.0,42.85,-2.6667,Gas,111.4
20496,ESP,10.0,41.6333,0.9,Gas,23.7
20497,ESP,16.647,42.069,1.3135,Waste,5.79
20498,ESP,37.62,41.9397,1.1954,Hydro,66.37
20499,ESP,18.0,38.7217,-7.1375,Solar,39.87
20500,ESP,7.6,40.319,-2.475,Solar,15.41
20501,ESP,60.0,39.619,-2.086,Solar,128.78
20502,ESP,10.0,39.6393,-2.0965,Solar,19.6
20503,ESP,6.0,39.6034,-2.0829,Solar,12.18
20504,ESP,26.4,42.737,-1.6331,Wind,54.48
20505,ESP,49.3,42.1933,-4.2939,Wind,104.84
20506,ESP,49.5,42.2142,-2.1649,Wind,105.27
20507,ESP,49.5,41.5801,-1.1172,Wind,105.27
20508,ESP,19.8,42.0357,-6.9054,Wind,42.1
20509,ESP,49.5,39.5,-2.1667,Wind,132.47
20510,ESP,33.75,42.0286,-2.231,Wind,71.77
20511,ESP,34.98,42.4,-8.4333,Wind,74.39
20512,ESP,39.75,43.6604,-8.0572,Wind,85.97
20513,ESP,33.0,43.6907,-7.958,Wind,70.24
20514,ESP,39.6,42.8233,-9.0891,Wind,84.21
20515,ESP,35.64,41.918,-1.2534,Wind,75.79
20516,ESP,29.75,42.0357,-6.9054,Wind,63.26
20517,ESP,12.85,37.5251,-7.4925,Wind,32.47
20518,ESP,10.0,43.3333,-8.0167,Wind,20.96
20519,ESP,49.5,41.8341,-1.5327,Wind,105.27
20520,ESP,49.5,39.6,-1.8,Wind,105.27
20521,ESP,49.3,39.9,-1.2667,Wind,104.84
20522,ESP,49.6,38.9505,-2.5405,Wind,119.42
20523,ESP,24.75,41.9461,-2.2822,Wind,52.26
20524,ESP,24.42,39.8667,-1.2167,Wind,51.93
20525,ESP,49.5,39.5,-2.1667,Wind,105.27
20526,ESP,68.85,38.9209,-1.7202,Wind,146.42
20527,ESP,12.0,42.0357,-6.9054,Wind,25.37
20528,ESP,32.0,41.0337,-2.1434,Wind,68.05
20529,ESP,40.8,36.6865,-6.1361,Wind,104.63
20530,ESP,49.5,39.4085,-2.2017,Wind,105.27
20531,ESP,49.5,41.9161,-4.7803,Wind,108.65
20532,ESP,37.6,39.8667,-1.2167,Wind,79.96
20533,ESP,16.575,43.3228,-8.8105,Wind,35.25
20534,ESP,20.46,43.3,-7.6833,Wind,38.38
20535,ESP,21.6,42.8233,-9.0891,Wind,46.73
20536,ESP,24.75,41.992,-2.3283,Wind,67.06
20537,ESP,38.4,41.6698,-5.931,Wind,80.16
20538,ESP,20.0,42.7485,-1.7226,Wind,42.53
20539,ESP,15.0,41.5801,-1.1172,Wind,31.9
20540,ESP,30.6,42.5794,-6.4684,Wind,73.26
20541,ESP,25.5,36.7702,-2.9543,Wind,74.42
20542,ESP,36.0,41.3424,-0.9599,Wind,79.37
20543,ESP,30.0,40.1669,-4.4048,Wind,63.8
20544,ESP,47.2,41.3424,-0.9599,Wind,107.48
20545,ESP,41.65,39.234,-3.8525,Wind,96.19
20546,ESP,31.02,38.8346,-1.4603,Wind,60.58
20547,ESP,29.75,41.5801,-1.1172,Wind,63.26
20548,ESP,40.5,39.2167,-2.15,Wind,99.66
20549,ESP,33.0,41.1748,-6.5194,Wind,71.27
20550,ESP,21.25,39.9856,-3.369,Wind,48.28
20551,ESP,49.5,41.6336,-1.2744,Wind,105.27
20552,ESP,28.5,40.5327,-0.2625,Wind,69.31
20553,ESP,10.0,36.4569,-5.9272,Wind,23.85
20554,ESP,28.0,38.4792,-1.325,Wind,65.0
20555,ESP,23.54,41.6336,-1.2744,Wind,57.93
20556,ESP,34.0,38.4792,-1.325,Wind,78.93
20557,ESP,10.8,41.8325,-1.4598,Wind,22.96
20558,ESP,24.75,41.9009,-2.1627,Wind,54.25
20559,ESP,29.8,41.0475,-2.2048,Wind,69.38
20560,ESP,66.0,41.0475,-2.2048,Wind,140.36
20561,ESP,12.0,41.0475,-2.2048,Wind,25.52
20562,ESP,49.5,39.6,-1.8,Wind,105.27
20563,ESP,11.4,38.0833,-6.2667,Wind,31.7
20564,ESP,16.2,41.4663,-1.085,Wind,24.55
20565,ESP,36.0,40.5327,-0.2625,Wind,87.55
20566,ESP,49.5,41.5801,-1.1172,Wind,105.27
20567,ESP,36.0,41.6544,-0.8494,Wind,76.56
20568,ESP,66.47,42.4171,-7.7498,Wind,141.36
20569,ESP,36.0,42.0425,-0.5814,Wind,76.56
20570,ESP,36.0,43.3126,-7.9146,Wind,76.56
20571,ESP,29.23,42.4,-8.4333,Wind,62.16
20572,ESP,40.8,40.7081,-0.9149,Wind,104.66
20573,ESP,38.94,43.2731,-6.6215,Wind,82.81
20574,ESP,16.9,43.2004,-8.8728,Wind,38.62
20575,ESP,36.0,37.3461,-2.4333,Wind,91.01
20576,ESP,41.25,42.0228,-6.3303,Wind,87.72
20577,ESP,21.25,40.594,-4.4115,Wind,65.06
20578,ESP,49.5,42.3897,-1.7932,Wind,105.27
20579,ESP,57.52,38.8795,-1.3123,Wind,103.87
20580,ESP,49.5,38.9722,-1.4518,Wind,105.27
20581,ESP,36.96,38.9667,-1.2167,Wind,72.15
20582,ESP,14.85,36.0139,-5.6069,Wind,37.48
20583,ESP,12.75,43.3667,-7.4833,Wind,36.73
20584,ESP,27.0,43.3667,-7.4833,Wind,74.28
20585,ESP,40.3,43.2674,-8.7833,Wind,93.73
20586,ESP,19.8,42.7248,-9.0053,Wind,42.1
20587,ESP,49.5,38.9579,-1.5568,Wind,146.03
20588,ESP,14.85,36.0139,-5.6069,Wind,37.48
20589,ESP,31.35,42.0482,-0.9103,Wind,69.43
20590,ESP,20.8,42.6333,-7.95,Wind,38.6
20591,ESP,48.1,42.2167,-8.3667,Wind,102.29
20592,ESP,14.52,40.7067,-4.5002,Wind,28.21
20593,ESP,24.0,36.6865,-6.1361,Wind,53.09
20594,ESP,11.9,41.486,-1.595,Wind,30.05
20595,ESP,28.5,37.8107,-5.0204,Wind,60.61
20596,ESP,14.0,42.0357,-6.9054,Wind,34.07
20597,ESP,34.85,43.3081,-6.2688,Wind,97.79
20598,ESP,38.0,42.9684,-7.0854,Wind,46.52
20599,ESP,30.0,39.2333,-1.75,Wind,63.8
20600,ESP,50.0,40.7767,-1.6498,Wind,106.33
20601,ESP,19.8,40.8131,-1.5964,Wind,51.87
20602,ESP,24.42,43.3828,-4.0024,Wind,51.93
20603,ESP,28.0,40.8126,-2.4938,Wind,65.19
20604,ESP,49.94,41.1722,-2.4348,Wind,110.45
20605,ESP,24.42,42.4168,-7.764,Wind,30.47
20606,ESP,42.0,42.5273,-3.4383,Wind,95.92
